class,instance,evt:starting_time,evt:endint_time,evt:alias,evt:nationality,evt:land_of_origin,evt:ethnic_group
哲学者@モラリスト@懐疑論者@人文主義者,モンテーニュ,1533,1592,,,フランス,
哲学者,モンテスキュー,1689,1755,シャルル・ルイ・ド・スゴンダ,,フランス,
黒人奴隷農場主@大統領,モンロー,1758,1831,,アメリカ合衆国,,
言語学@文学者@法学者@学者,ヤーコプ,1785,1863,グリム兄弟,
王@大公,ヤゲウォ,1351,1434,ヴワディスワフ2世ヤギェウォ@ヨガイラ,ヤゲウォ朝,,
画家,ヤン・ファン・エイク,1395頃,1441,ファン・アイク兄弟,,,
王,ユーグ・カペー,940,990,,カペー朝,,
詩人@小説家@政治家,ユゴー,1802,1885,ユーゴー,フランス,フランス,
皇帝,ユスティニアヌス帝,483,565,ユスティニアヌス１世,東ローマ帝国,,
皇帝,ヨーゼフ1世,1678,1711,,神聖ローマ帝国,,
皇帝@大公@君主@王,ヨーゼフ2世,1741,1790,ヨーゼフ・ベネディクト・アウグスト・ヨハン・アントン・ミヒャエル・アダム・フォン・ハプスブルク・ロートリンゲン,神聖ローマ帝国,,
軍人@政治家,ラ・ファイエット,1757,1834,,フランス,フランス,
哲学者@数学者,ライプニッツ,1646,1716,,,ドイツ,
化学者@医者@貴族@医師,ラヴォワジェ,1743,1794,,,フランス,
軍人@隊長@学者,ラクスマン,1766,1803頃,,ロシア帝国,,
政治家@君主@医師,ラシード・ウッディーン,1249,1318,,イル・ハン国,,
劇作家@悲劇作家@作家@王,ラシーヌ,1639,1699,,,フランス,
カトリック司祭@司教@司祭,ラス・カサス,1474,1566,,,スペイン,
画家@建築家@教皇@作家@職人,ラファエロ,1483,1520,,,イタリア,
自然科学者@数学者@物理学者@天文学者@学者,ラプラース,1749,1827,,フランス,フランス,
人文主義者@作家@医師,ラブレー,1494,1553,,,フランス,
大王,ラメス2世,前1314@前1302,前1224@前1212,ラムセス2世,,エジプト,
歴史家@学者,ランケ,1795,1886,,,ドイツ,
詩人,ランボー,1854,1891,,フランス,フランス,
歴史家,リヴィウス,前59,17,リウィウス,古代ローマ,,
探検家@宣教師@医師,リヴィングストン,1813,1873,,イギリス,イギリス,
経済学者@学者,リカード,1772,1823,,イギリス,イギリス,
政治家@枢機卿,リシュリュー,1585,1642,,,フランス,
経済学者@学者,リスト,1789,1846,,,ドイツ,
生化学者@分子生物学者@シャー,リチャード・ロバーツ,1943,,,イギリス,イギリス,
王,リチャード1世,1157,1199,獅子心王,,イギリス,
政治家@弁護士@大統領,リンカーン,1809,1865,エイブラハム・リンカーン,アメリカ合衆国,,
博物学者@生物学者@植物学者@学者,リンネ,1707,1778,カロルス・リンナエウス@分類学の父,スウェーデン王国,,
国王,ルイ・フィリップ,1773,1850,,フランス,フランス,
政治家@歴史家@農民,ルイ・ブラン,1811,1882,,フランス,フランス,
王@君主@枢機卿@国王@摂政,ルイ13世,1601,1643,ルイス2世,,フランス,
王@君主@国王@元首@思想家,ルイ14世,1638,1715,ルイス3世,,フランス,
王@枢機卿@国王@摂政,ルイ15世,1710,1774,ルイス4世@最愛王,,フランス,
王@君主@皇后@国王@皇帝,ルイ16世,1754,1793,ルイス5世,,フランス,
国王,ルイ18世,1755,1824,ルイス7世,フランス,フランス,
王@国王,ルイ9世,1214,1270,,,フランス,
画家@王@学者@貴族,ルーベンス,1577,1640,ペーテル・パウル・リュベンス@ピーテル・パウル・リュベンス,,フランドル,
哲学者@作家,ルソー,1712,1778,,,フランス,
画家@俳優@監督,ルノワール,1841,1919,,フランス,フランス,
社会人類学者@民族学者@学者,レヴィ・ストロース,1908,2009,,ベルギー王国,,
俳優@政治家@大統領,レーガン,1911,2004,,アメリカ合衆国,,
革命家@政治家,レーニン,1870,1924,ウラジーミル・イリイチ・ウリヤノフ,ロシア帝国,,
教皇,レオ10世,1475,1521,ジョヴァンニ・デ・メディチ,,イタリア,
教皇,レオ3世,750頃,816,,古代ローマ,,
画家@科学者@農夫,レオナルド・ダ・ヴィンチ,1452,1519,万能人@レオナルド・ディ・セル・ピエーロ・ダ・ヴィンチ,,イタリア,
皇帝@大公@王,レオポルト1世,1640,1705,,神聖ローマ帝国,,
国王,レオポルド2世,1835,1909,,ベルギー王国,,
王@皇帝@司令官,レオン3世,685,741,レオ,東ローマ帝国,,
シャー@皇帝@ハーン,レザー・ハーン,1878,1944,レザー・シャー,,イラン,
外交官@カリフ@隊長,レザノフ,1764,1807,,ロシア帝国,,
外交官@実業家,レセップス,1805,1894,,フランス,フランス,
政治家@軍人,レピドゥス,,前13頃,,古代ローマ,,
物理学者@学者,レントゲン,1845,1923,,,ドイツ,
画家,レンブラント,1606,1669,,,オランダ,
政治家@貴族@首相,ロイド・ジョージ,1863,1945,初代ロイド・ジョージ・オブ・ドワィフォー伯爵,イギリス,イギリス,
,ロイヒリン,1455,1522,,,ドイツ,
政治理論家@哲学者@革命家,ローザ・ルクセンブルク,1871,1919,,ポーランド,,
学者,ローリンソン,1810,1895,,イギリス,イギリス,
哲学者@司祭@博士,ロジャー・ベーコン,1214頃,1291,,,イギリス,
彫刻家,ロダン,1840,1917,,フランス,フランス,
哲学者,ロック,1632,1704,,,イギリス,
社会改革家,ロバート・オーウェン,1771,1858,,イギリス,イギリス,
政治家@革命指導者,ロベスピエール,1758,1794,,,フランス,
作家,ロマン・ロラン,1866,1944,,フランス,フランス,
作曲家@指揮者@王,ワグナー,1813,1883,楽劇王,,ドイツ,
軍人@政治家@黒人奴隷農場主@大統領,ワシントン,1732,1799,ジョージ=ワシントン,アメリカ合衆国,,
発明家@エンジニア,ワット,1736,1819,,スコットランド,,
農夫@司教@国王@職人@農民,ワット・タイラー,,1381,,,イギリス,
画家,ワトー,1684,1721,フェート・ギャラント,,フランス,
政治家@労働組合指導者@電気技師@大統領@技師,ワレサ,1943,,レフ・ヴァウェンサ,ポーランド,,
環境保護活動家@博士,ワンガリ・マータイ,1940,2011,,ケニア,,
政治家@大統領,ンクルマ,1909,1972,エンクルマ,ガーナ,,
高官,阿倍仲麻呂,698,770,仲満@晁衡@朝衡@朝臣,日本,,
皇帝@軍人,安禄山,705,757,康南海,唐,,
武士@政治家@貴族@大臣,伊藤博文,1841,1909,滄浪閣主人@春畝公,日本,,
商人@測量士,伊能忠敬,1745,1818,郎右衛門@勘解由,日本,,
皇帝,永楽帝,1360,1424,成祖,明,,
僧,円仁,794,864,慈覚大師,日本,,
政治家@歴史学者@詩人@文学者@学者,欧陽脩,1007,1072,永叔@醉翁@六一居士@文忠,北宋,,
政治家@詩人@文章家@王,王安石,1021,1086,介甫@半山,北宋,,
詩人@書家@画家@王@音楽家@官僚,王維,701頃,761,摩詰@王右丞@詩仏,唐,,
王@大王,王建,877,943,太祖,高麗,,
儒学者@思想家@王,王守仁,1472,1528,王陽明,明,,
王,王昭君,前1世紀頃,,嬙@昭君,匈奴,,
反乱指導者@王,王仙芝,,878,,唐,,
政治家@書家@王@将軍@貴族,王羲之,307頃,365頃,逸少@王右軍,東晋,,
政治家@書家@王@将軍@貴族,王羲之,303,361,王右軍,東晋,,
皇帝@王@皇后,王莽,前45,23,巨君,新,,
水墨画家@王@発明家,黄公望,1269,1354,,元,,
儒学者,黄宋義,1610,1695,,清,,
指導者,黄巣,,884,,唐,,
皇帝,嘉慶帝,1760,1820,仁宗,清,,
天文学者@暦学者@水利事業家,郭守敬,1231,1316,若思,元,,
武将,岳飛,1103,1141,,南宋,,
皇帝,乾隆帝,1711,1799,高宗,清,,
皇帝,完顔阿骨打,1068,1123,阿骨@太祖,金,,
軍事大使@大使,甘英,1世紀,,崇蘭,後漢,,
思想家@詩人@法家@著者@人物,韓非,,前233,韓子@韓非子,秦,,
文人@士大夫,韓愈,768,824,韓退之,唐,,
書家,顔真卿,709,786頃,清臣,唐,,
皇帝,徽宗,1082,1135,体神合道駿烈遜功聖文仁徳憲慈顕孝皇帝@佶,北宋,,
僧,義浄,635,715,,唐,,
皇帝,欽宗,1100,1165,亶@趙烜@趙桓@恭文順徳仁孝皇帝@欽宗,北宋,,
政治家@大統領@博士,金泳三,1927,,きんえいさん,大韓民国,,
政治家,金玉均,1851,1894,伯温@古愚,李氏朝鮮,,
政治家@大統領@博士,金大中,1925,2007,きんだいちゅう,大韓民国,,
政治家@軍人@首相@主席@党首,金日成,1912,1994,きんにっせい,朝鮮民主主義人民共和国,,
政治家@詩人@王,屈原,前340,前278,羋@屈@平@正則@原,楚,,
皇帝,建文帝,1377,1402,允炆,明,,
皇帝,玄宗,685,762,隆基,唐,,
僧@開祖,玄奘,600頃,664,玄奘三蔵@三蔵法師,唐,,
学者@思想家@外交官,胡適,1891,1962,嗣穈@希疆@適@適之,中華民国,,
儒学者@始祖,顧炎武,1613,1682,,清,,
儒学者,顧憲成,1550,1612,叔時@涇陽@文端,明,,
画家@将軍,顧愷之,344頃,405頃,長康@顧虎頭,東晋,,
軍人@政治家@軍事思想家@兵家@思想家,呉子,前440頃,前381,呉起,,中国,
,呉広,,,,,中国,
軍人@皇帝@王,呉三桂,1612,1678,月所@長白@太祖 ,明@清,,
画家,呉道玄,8世紀,,画聖,唐,,
皇帝,光緒帝,1871,1908,徳宗,清,,
学者@博士,孔穎達,574,648,,唐,,
思想家@哲学者@始祖,孔子,前551頃,前479,孔@丘@仲尼,,中国,
皇帝,孝文帝,467,499,宏,北魏,,
王@大王,広開土王,374,412,好太王,高句麗,,
思想家@政治家@書家,康有為,1858,1927,康南海,清,,
皇帝,康熙帝,1654,1722,聖祖,清,,
宗教家@革命家,洪秀全,1813,1864,洪火秀@仁坤@,清,,
武将,項羽,前232,前202,項籍@羽,,中国,
皇帝,高宗,649,683,李治@為善@稚奴@天皇大聖大弘孝皇帝,唐,,
国王@王@皇帝@王族,高宗,1852,1919,徳寿宮李太王@光武皇帝@翼成君,李氏朝鮮,,
大臣@官僚@総督,左宗棠,1812,1885,老亮@諸葛亮,清,,
皇帝@王,司馬炎,236,290,武帝,西晋,,
儒学者@歴史家@政治家@王@編者,司馬光,1019,1086,君実@迂叟@涑水先生@文正,北宋,,
歴史家@著者,司馬遷,前145頃,前86頃,司馬@遷@子長,前漢,,
皇帝@王,司馬睿,276,322,元帝,東晋,,
軍人@皇帝,史思明,,761,史窣幹@思明@大聖周皇帝 ,唐,,
王@皇帝,始皇帝,前259,前210,嬴@秦王政@秦始皇,秦,,
政治家@小説家@司令官@総督,柴四郎,1853,1922,柴四朗@東海散士,日本,,
皇帝,朱元璋,1328,1398,太祖@洪武帝,明,,
皇帝,朱全忠,852,912,太祖@温@全忠@晃,後梁 ,,
儒学者,朱熹,1130,1200,朱子,南宋,,
政治家@首相,周恩来,1898,1976,不倒翁,中華人民共和国,中国,
儒学者,周敦頣,1017,1073,茂叔@濂渓@周敦頤,北宋,,
天文暦学者@囲碁棋士@神道家,渋川春海,1639,1715,安井算哲,日本,,
皇帝,順治帝,1638,1661,世祖,清,,
暦数学者@学者,徐光啓,1562,1633,子先,明,,
政治家@将軍@法家@兵家,商鞅,,前338,姫@公孫@鞅@衛鞅,秦,,
皇族@王@文人,昭明太子,501,531,蕭統,梁,,
政治家@軍人@総統@主席@元首,蒋介石,1887,1975,蒋中正,中華民国,,
武将@戦国大名@大名,織田信長,1534,1582,吉法師@三郎@上総守@上総介@右大将@右府@第六天魔王@大うつけ@赤鬼 神号 建勲 ,日本,,
皇帝,神宗,1048,1085,趙仲鍼@趙頊@体元顕道法古立憲帝徳王功英文烈武欽仁聖孝皇帝@神宗,北宋,,
王,秦檜,1090,1155,会之,南宋,,
国王@大王,世宗,1397,1450,寧君@忠寧大君,李氏朝鮮,,
皇帝,正統帝,1427,1464,英宗@天順帝,明,,
皇后,西太后,1835,1908,慈禧太后@老仏爺,清,,
皇帝,宣統帝,1906,1967,溥儀,清,,
軍人@政治家@大統領,全斗煥,1931,,旌善全氏@日海,大韓民国,,
農民,全琫準,1854,1895,,李氏朝鮮,,
軍人@政治家,曽国藩,1811,1872,伯函@滌生@文正,清,,
弁論家,蘇秦,,前317,,,中国,
政治家@詩人@書家,蘇軾,1036,1101,蘇東坡,北宋,,
学者@著者,宋応星,1590頃,1650頃,,明,,
武将@政治家@詩人@皇帝@王,曹操,155,220,孟徳@阿瞞@吉利,後漢,,
皇帝,曹丕,187,226,文帝,魏,,
思想家@始祖,荘子,前4世紀頃,前286頃,荘周,,中国,
女帝@皇帝@皇后,則天武后,624頃,705,武則天@照@曌,武周,,
国王@大名@将軍,足利義満,1358,1408,,日本,,
武将,孫子,,,,,中国,
皇帝@君主,孫権,182,252,仲謀@大皇帝@太祖 ,呉,,
政治家@革命家@総統,孫文,1866,1925,国父@孫中山,中華民国,,
皇帝,太宗,598,649,李世民,唐,,
皇帝,太宗,939,997,匡義@光義@炅,北宋,,
皇帝,太武帝,408,452,拓跋燾@ 仏狸@太武皇帝@世祖 ,北魏,,
政治家@シャー@国王@神父@王@王族,大院君,1820,1898,時伯@石坡@海東居士@李昰応,李氏朝鮮,,
王,大祚栄,,719,大氏@高王,渤海国,,
教祖,張角,,184,,後漢,,
軍人@政治家,張学良,1901,2001,漢卿,中華民国,,
遊説家@政治家,張儀,,前309,,,中国,
政治家,張居正,1525,1582,叔大@上柱国@太岳@文忠,明,,
政治家@天文学者@数学者@地理学者@発明家@製図家@文学者@詩人@学者,張衡,78,139,平子,後漢,,
政治家,張作霖,1875,1928,雨亭,中華民国,,
開祖@王,張陵,,,輔漢@張翳@大順,,中国,
政治家@外交官,張騫,,前114,子文,前漢,,
官僚@著者,陳寿,233,297,承祚,蜀@西晋,,
反乱指導者,陳勝,,前209,渉@隠王,,中国,
革命家@ジャーナリスト@政治家,陳独秀,1879,1942,仲甫@実庵,中華民国,,
学者,鄭玄,127,200,康成,後漢,,
軍人@政治家,鄭成功,1624,1662,国姓爺,明,,
武将@宦官,鄭和,1371,1434頃,三保太監@三宝太監,明,,
陸軍軍人@政治家@貴族@軍人@大臣,田中義一,1864,1929,,日本,,
詩人,杜甫,712,770,子美@少陵野老@杜陵野老@杜陵布衣@杜少陵@杜工部@詩聖,唐,,
儒学者@学者@博士,董仲舒,前176頃,前104頃,,前漢,,
文学者@詩人,陶潜,365頃,427,陶淵明,東晋@宋,,
皇帝,同治帝,1856,1875,載淳@穆宗,清,,
皇帝,道光帝,1782,1850,宣宗,清,,
武将@戦国大名@大名,徳川家康,1542,1616,次郎三郎@竹千代,日本,,
詩人,白居易,772,846,白楽天,唐,,
訳経僧@僧,鳩摩羅什,344,413,羅什@什@クマーラジーヴァ,亀茲国,,
歴史家@文学者,班固,32,92,孟堅,後漢,,
軍人@シャー,班超,32,102,仲升@定遠侯,後漢,,
女王王@,卑弥呼,,248,親魏倭王,邪馬台国,,
皇帝,武帝,前156,前87,劉徹@通@孝武皇帝@世宗,前漢,,
僧,仏図澄,,348,帛@ブドチンガ,亀茲国,,
僧,法顕,337頃,422頃,龔,東晋,,
武将@天下人@関白@太閤@大名,豊臣秀吉,1537,1598,羽柴 秀吉,日本,,
皇帝@王@君主,冒頓単于,,前174,,匈奴,,
思想家@始祖,墨子,前480頃,前390頃,翟,中国
軍人@政治家@大統領,朴正煕,1917,1979,ぼくせいき,大韓民国,,
皇帝,万暦帝,1563,1620,神宗,明,,
儒学者,孟子,前372頃,前289頃,孟子@孟@軻@子輿@亜聖,,中国,
政治家@軍事戦略家@思想家@主席@詩人,毛沢東,1893,1976,マオ・ツォートン,中華人民共和国,,
皇帝,耶律阿保機,872,926,劉億@阿保機@啜里只@大聖大明神烈天皇帝@太祖,遼,,
皇帝,耶律大石,1087,1143,重徳@文烈皇帝@天祐皇帝@徳宗,西遼,,
文学者@政治家@王@詩人,柳宗元,773,819,子厚,唐,,
皇帝,楊堅,541,604,文帝,隋,,
皇帝@王,李元昊,1003,1048,趙元昊@嵬名曩霄@武烈皇帝@世祖始文本武興法建礼仁孝皇帝@景宗 ,西夏,,
政治家@大使@大臣,李鴻章,1823,1901,少荃,清,,
法家@皇帝,李斯,,前210,通古,秦,,
医師@本草学者,李時珍,1523頃,1596頃,東璧@瀕湖仙人,明,,
農民反乱指導者@皇帝,李自成,1606,1645,順王朝,明,,
将軍,李舜臣,1545,1598,汝諧@忠武公,李氏朝鮮,,
独立運動家@大統領,李承晩,1875,1965,りしょうばん,大韓民国,,
武官@王@国王@皇帝,李成桂,1335,1408,太祖高皇帝,李氏朝鮮,,
政治家,李大釗,1889,1927,,中華民国,,
政治家@農業経済学者元@中華民国総統@博士@主席,李登輝,1923,,岩里政男,中華民国,,
詩人,李白,701,762,太白@青蓮居士@詩仙,唐,,
皇帝@王,李淵,565,635,高祖,唐,,
思想家@評論家,李贄,1527,1602,林載贄@李贄@李卓吾@宏甫@篤吾@龍湖叟@温陵居士,明,,
儒学者@官僚@学者@王,陸九淵,1139,1192,陸象山,南宋,,
軍人,劉永福,1837,1917,淵亭,清,,
皇帝@王,劉秀,前6,57,光武帝,後漢,,
政治家@主席,劉少奇,1898,1969,凱豊@胡服,中華人民共和国,,
武将@皇帝,劉備,161,223,玄徳@昭烈皇帝@ 太宗@烈祖,後漢,,
皇帝@王,劉邦,前247,前195,高祖,前漢,,
政治家@ジャーナリスト@歴史学者@学者,梁啓超,1873,1929,卓如@任公,清,,
官僚@政治家@欽差大臣@大臣,林則徐,1785,1850,少穆@文忠,清,,
小説家@翻訳家@思想家@学者,魯迅,1881,1936,周樹人,中華人民共和国,,
哲学者@貴族,老子,,,,,中国,
画家,倪瓚,1301,1374,,元,,
皇帝,咸豊帝,1831,1861,文宗,清,,
皇帝,咸豊帝,1831,1861,奕詝@文宗,清,,
道士,寇謙之,363,448,輔真,北魏,,
宗教家,崔済愚,1824,1864,子昂@松雪,李氏朝鮮,,
政治家,汪兆銘,1883,1944,季新@精衛@汪精衛,中華民国,,
皇帝,溥儀,1906,1967,愛新覚羅 溥儀,清,,
皇帝,煬帝,569,618,明皇帝@煬皇帝@世祖 ,隋,,
軍人@政治家@大統領,盧泰愚,1932,,交河盧氏,大韓民国,,
思想家@儒学者,荀子,前298頃,前235頃,況@卿,,中国,
宦官,蔡倫,,107頃,敬仲,後漢,,
軍人@政治家@皇帝@総統@大臣,袁世凱,1859,1916,洪憲皇帝,清@中華民国,,
皇帝,趙匡胤,927,976,啓運立極英武皇帝睿文神徳聖功至明大孝皇帝@太祖,後周,,
政治家@文人@書家@皇帝@画家,趙孟頫,1254,1322,子昂@松雪@趙子昂@趙松雪,南宋,,
,鄒衍,前305,前240,,,中国,
考証学者@学者,錢大昕,1728,1804,考証学者@暁徴@辛眉@竹汀,清,,
画家@貴族,閻立本,,673,,唐,,
皇帝,阮福瑛,1762,1820,嘉隆帝,,ヴェトナム,
皇帝,雍正帝,1678,1735,世宗,清,,
思想家,魏源,1794,1856,遠達@黙深@墨生@漢士@良図,清,,
政治家,鄧小平,1904,1997,,中華人民共和国,,
政治家@書家@皇后,褚遂良,596,658,登善@褚河南,唐,,
王,クフ王,前27世紀,,,,,
王,アッシュル・バニパル,,,,,,
王,カンビュセス2世,,,,,,
王,ミトラダテス1世,,,,,,
王,ホスロー2世,,,,ササン朝,,
学者,グローテフェント,,,,,,
皇帝,ヴァレリアヌス,,,ウァレリアヌス,,,
族長,アルサケス,,,,,,
立法者,ドラコン,前7世紀,,,アテネ,,
詩人,アナクレオン,前570頃,,,,,
貴族,キュロン,前7世紀,前632,,アテネ,,
王,孝公,前381,前338,,秦,,
王@建設者,武王,前11世紀,,,周,,
思想家@名家,公孫竜,前4世紀,前3世紀頃,,趙,,
帝王,堯,,,,中国,,
帝王,舜,,,,中国,,
帝王,禹,,,,中国,,
覇者@王,桓公,,前643,,斉,春秋の五覇,
覇者@王,文公,前696,前628,,晋,春秋の五覇,
覇者@王,荘王,,前591,,楚,春秋の五覇,
覇者@王,穆公,,前621,,秦,,
覇者@王,襄公,,前637,,宋,,
覇者@王,闔閭,,前496,,呉,春秋の五覇,
覇者@王,夫差,,前473,,呉,春秋の五覇,
覇者@王,勾践,,前465,,越,春秋の五覇,
覇者@総称,春秋の五覇,春秋時代,,,桓公@文公@荘王@閨閭@夫差@勾践,,
兵法家@武将,孫武,春秋時代,,,,,
医師,ガレノス,131,201,,ギリシア,,
王,ダレイオス3世,前380,前330,,アケメネス朝,,
共和主義者@政治家@軍人,ブルートゥス,前85,前42,ブルトゥス@ブルータス,,,
皇帝,ネルウァ,35,98,ネルヴァ,ローマ帝国,五賢帝,
皇帝,トラヤヌス,53,117,,ローマ帝国,五賢帝,
皇帝,ハドリアヌス,76,138,,ローマ帝国,五賢帝,
皇帝,アントニヌス,86,161,アントニヌス・ピウス,ローマ帝国,五賢帝,
皇帝,カラカラ,188,217,,,,
皇帝,ウァレリアヌス,193@195@200,260@264,ヴァレリアヌス,ローマ帝国,,
皇帝,マクシミヌス,173頃,238,,ローマ帝国,,
皇帝,ユリアヌス,331,363,,ローマ帝国,,
皇帝@総称,五賢帝,,,,ネルウァ@トラヤヌス@ハドリアヌス@アントニヌス@マルクス・アウレリウス,ローマ帝国,
総督,ポンティウス・ピラトゥス,,,ポンテオ・ピラト,ローマ帝国@ユダヤ,,
哲学者,プロティノス,205頃,269,,新プラトン主義,,
法学者,トリボニアヌス,,543,,ビザンティン帝国,,
王,趙佗,前240頃,前137,,南越,,
王,大秦王安敦,,,,マルクス・アウレリウス・アントニヌス,史書,
王@総称,倭の五王,,,,讃@珍@済@興@武,応神@仁徳@履中@反正@仁徳@允恭@安康@雄略,
王族,劉淵,,310,,匈奴,,
画家,李思訓,651頃,718,,唐,,
画家,夏珪,,,,南宋,,
画家,馬遠,,,,南宋,,
画家,梁楷,,,,南宋,,
画家@禅僧,牧谿,,,,北宋@元,,
学者,劉向,前77,前6,,漢,,
学者,顔師古,581,645,,唐,,
妃,楊貴妃,719,756,,玄宗,唐,
建国者,衛満,,,,衛氏朝鮮,,
遣隋使,小野妹子,,,,,,
皇后,韋后,,710,,唐,,
皇帝,景帝,,前141,,前漢,,
皇帝,明帝,28,75,,後漢,,
皇帝,梁武帝,,549,武帝,梁,,
皇帝,中宗,656,710,,唐,,
皇帝,高宗,1107,1187,,南宋,,
皇帝@武将,劉裕,356,422,,南朝宋@東晋,,
国王,帥升,,,,倭,,
宰相,楊炎,727,781,,唐,,
詩人,謝霊運,385,433,,宋,,
儒学者,程顥,1032,1085,,北宋,二程@二程子,
儒学者,程頤,1033,1107,,北宋,二程@二程子,
将軍,李広利,,前90,,前漢,,
書家,欧陽詢,557,641,,隋@唐,,
書家,虞世南,558,638,,隋@唐,,
清談家@総称,竹林の七賢,,,,阮籍@嵆康@山濤@王戎@劉伶@阮咸@向秀,,
清談家,阮籍,210,263,,魏,,
清談家,嵆康,223,262,,魏,,
摂生,聖徳太子,574,622,,日本,,
僧,道安,314,385,,長安,,
僧,慧遠,334,416@417,,東晋,浄土宗,
僧,達磨,378,528,,インド,,
僧,慧遠,334,416,,東晋,,
地理学者,酈道元,,527,,北魏,,
農学者,賈思勰,,,,北魏,,
武将,衛青,,前106,,前漢,,
武将,霍去病,前140頃,前117,,前漢,,
武将,高仙芝,,755,,唐@高句麗,,
文章家@総称,唐宋八大家,,,,唐@宋,韓愈@柳宗元@欧陽脩@蘇洵@蘇軾@蘇轍@曾鞏@王安石,
文人@画家,李公麟,,1106,,北宋,,
文人@画家@書家,米芾,1051,1107,,北宋,,
文人@学者,蘇洵,1009,1066,,北宋,,
文人@政治家,蘇轍,1039,1112,,北宋,,
文人@政治家,曾鞏,1019,1083,,北宋,,
金細工師@彫刻家@建築家,ブルネレスキ,1377,1446,フィリッポ・ブルネレスキ,イタリア@フィレンツェ,,
皇帝,太宗,902,947,耶律堯骨,遼,,,,
皇帝,聖宗,971,1031,,遼,,,,
道士@開祖,王重陽,1113,1170,,全真教,金,,,
武将,平清盛,1118,1181,,平氏政権,,,,
