class,instance,starting_time,ending_time,alias,nationality,land_of_origin,founder,upper_organization,religion
銀行,ヨーロッパ中央銀行,1998,,欧州中央銀行,,,,,
国際組織@組織@連合,ヨーロッパ連合,1993,,欧州連合,,,,,
宗教組織@組織@団,ヨハネ騎士団,,,聖ヨハネ騎士団,,,,,
同盟,ライン同盟,1806,1813,ライン連邦,,ドイツ,,,
派閥@派,ランカスター派,1399,,ランカスター朝,イングランド王国,,,,
大学,ラングーン大学,,,,,,,,
国際組織@組織@団,リットン調査団,1932,1932,,,,,,
軍隊@軍,ルーマニア軍,,,,,,,,
宗教組織@組織@派@会派,ルター派,,,ルーテル教会,,,,,
政府@政権,レーガン政権,1981,1989,レーガン,アメリカ合衆国,,,,
政府@政権,レーテ政権,,,,,,,,
政府@政権@内閣,ロイド・ジョージ内閣,,,ロイド・ジョージ挙国一致内閣,,,,,
宗教組織@組織@会派,ローマ・カトリック教会,,,ローマ教会@カトリック教会,,,,,
宗教組織@組織@庁,ローマ教皇庁,,,,,,,ローマ・カトリック教会,
軍隊@軍,ローマ軍,,,,,,,,
政党@党,ロシア共産党,1918,1925,,,ロシア,,,
軍隊@軍,ロシア軍,,,,ロシア,,,,
政党@党,ロシア社会民主労働党,,,,,ロシア,,,
同盟,ロンバルディア同盟,1167,,,イタリア,,,,
宗教組織@組織@派,ワッハーブ派,,,,,,,,イスラム教
政党@党,ワフド党,1918,1952,,エジプト,,,,
同盟@機構,ワルシャワ条約機構,1955,1991,東欧8カ国有効相互援助条約@ワルシャワ相互防衛援助条約機構,,,,,
国際組織@組織@会,安全保障理事会,1946,,国際連合安全保障理事会,,,,,
行政機関@機関,安南都護府,622,,,,,,,
団体@結社@会,維新会,,,,,,,,
派閥@派,王党派,,,国王派,,,,,
軍隊@軍,王党派軍,,,,,,,,
企業@会社,王立フィリピン会社,,,,,,,,
政府機関@機関,王立マニュファクチュア,,,特権マニュファクチュア,,,,,
宗教組織@組織@派,黄帽派,,,黄教,,,ツォンカパ,,チベット仏教
団体@結社@派,開化派,,,独立党,,,,,
国際組織@組織,拡大EC,,,,,,,,
政府@政権@幕府,鎌倉幕府,1185,1333,,日本,,源頼朝,,
軍隊,漢軍八旗,,,,清,,,,
軍隊@軍,関東軍,1919,1945,,日本,,,,
行政機関@機関,韓国統監府,,,統監府,,,,,
議会,貴族院,,,上院,,,,,
宗教組織@組織@団,義和団,,,,,,,,白蓮教
派閥@派,議会派,,,,,,,,
国際組織@組織,共産主義インターナショナル,,,コミンテルン@第3インターナショナル,,,,,
派閥@派,教皇派,,,ゲルフ@教皇党,イタリア,,,,
団体@結社@会,興中会,1894,,,,,孫文,,
武装勢力@軍閥,郷勇,,,,,,,,
政府@政権,金泳三政権,1993,1998,金泳三,大韓民国,,,,
政府@政権,金大中政権,1998,2003,金大中,大韓民国,,,,
政府@政権,軍機処,,,,,,,,
国際組織@組織@機構,経済協力開発機構,1948,1961,,,,,,
国際組織@組織@会,経済社会理事会,,,国際連合経済社会理事会,,,,,
国際組織@組織@会議,経済相互援助会議,,,,,,,,
議会,憲法制定議会,1787,,,アメリカ合衆国,,,,
議会,憲法制定国民議会,1789,1791,,,フランス,,,
軍隊@軍,元軍,,,,,,,,
議会,元老院,,,,ローマ帝国,,,,
軍隊@軍,湖北新軍,,,,,,,,
同盟,五国同盟,1818,,,,,,,
団体@結社,抗日民族統一戦線,,,第2次国共合作,中華民国,,,,
政府@政権@幕府,江戸幕府,1603,1867,,日本,,徳川家康,,
政府@政権,江南政権,,,,,,,,
軍隊@軍,紅軍,1927,,中国貢工農紅軍,中華民国,,,,
組合@ギルド,行,,,,,,,,
行政機関@機関,行中書省,,,,中華民国,,,,
司法機関@機関,高等法院,,,,,フランス,,,
議会,国会,,,,日本,,,,
国際組織@組織@団,国境なき医師団,1971,,,,,,,
国際組織@組織,国際司法裁判所,1946,,International Court of Justice,,,,,
国際組織@組織,国際赤十字社,1863,,赤十字社,,,アンリ・デュナン,,
国際組織@組織,国際団体第2インターナショナル,1889,1914,第2インターナショナル,,,,,
国際組織@組織,国際仲裁裁判所,,,,,,,,
国際組織@組織@基金,国際通貨基金,1945,,,,,,,
国際組織@組織@銀行,国際復興開発銀行,1945,,世界銀行,,,,,
国際組織@組織@機構,国際平和維持機構,,,国際平和機構,,,,,
国際組織@組織@連合,国際連合,1945,,国連,,,,,
国際組織@組織@連盟,国際連盟,,,,,,,,
国際組織@組織@機関,国際労働機関,1946,,,,,,,
国際組織@組織@協会,国際労働者協会,,,第1インターナショナル,,,,,
政党@党@派,国民会議派,1885,,インド国民会議,インド共和国,,,,
軍隊@軍,国民革命軍,,,,,,,,
議会,国民議会,1789,1791,フランス国民議会,,フランス,,,
議会,国民公会,1792,1795,,,フランス,,,
政府@政権,国民政府,,,,中華民国,,,,
軍隊@軍,国民政府軍,1925,1947,国民革命軍,中華民国,,,,
行政機関@機関,国立作業場,1848,,,,フランス,,,
政府@政権@機構,国連カンボジア暫定行政機構,1992,,,,,,,
国際組織@組織@機関,国連教育科学文化機関,1946,,ユネスコ,,,,,
軍隊@軍,国連軍,,,国際警察軍,,,,,
国際組織@組織,国連難民高等弁務官事務所,1950,,国際連合難民高等弁務官事務所,,,,,
武装勢力@軍閥@軍,黒旗軍,,,,,,,,
組合@ギルド,作,,,,,,,,
藩,薩摩藩,1600,1871,,日本,,,,
同盟,三国協商,,1917,,,,,,
同盟,三国同盟,1882,1915,,,,,,
同盟,三帝同盟,1873,1887,,,,,,
議会,三部会,,,,,フランス,,,
派閥@派,山岳派,,,ジャコバン派,,フランス,,,
同盟,四国同盟,1815,,,,,,,
中央省庁@省庁,市舶司,,,,,,,,
派閥@党,事大党,1882,1892,,,,,,
軍隊@隊,自衛隊,1954/07/01,,,日本,,,,
政府@政権,自由フランス政府,,,自由フランス,,,,,
団体@結社@団,自由将校団,,,,,,,,
政党@党,自由党,,,,,,,,
政府@政権@幕府,室町幕府,1338,1573,,日本,,足利尊氏,,
派閥@派,実権派,,,,中華人民共和国,,,,
政党@党,社会革命党,1902,1921,エスエル党@エスエル,ロシア帝国,,,,
派閥@派,社会革命党左派,,,,,,,,
学派,儒家,,,,,,孔子,,
軍隊@軍,十字軍,1096,1270,,,,,,
学派,縦横家,,,,,,,,
議会,庶民院,,,下院,イギリス,,,,
武装勢力@軍閥,湘勇,,,湘軍,,,,,
宗教組織@組織,上帝会,,,拝上帝会,清,,,,
国際組織@組織,常設国際司法裁判所,,,,,,,,
軍隊@軍,新軍,,,新建陸軍,,,,,
軍隊@軍,新建陸軍,,,新軍,,,,,
派閥@党,新法党,,,,,,,,
同盟,神聖同盟,1815,,,,,,,
軍隊@軍,人民解放軍,1947,,,中華人民共和国,,,,
政府機関@機関,人民公社,,,,中華人民共和国,,,,
政府@政権,人民政府,,,,,,,,
団体@結社,人民戦線,,,,,,,,
政府@政権@内閣,人民戦線内閣,1936,,人民戦線政府,,フランス,,,
派閥@派,水平派,,1649,平等派,,,,,
同盟,枢軸国,,,,,,,,
国際組織@組織@銀行,世界銀行,1945,,国際復興開発銀行,,,,,
国際組織@組織@同盟,世界産業労働者同盟,1905,,世界産業労働組合,,,,,
国際組織@組織,世界貿易センター,,,ワールド・トレード・センター@国際貿易センター,,,,,
国際組織@組織@機関,世界貿易機関,1995,,,,,,,
司法機関@機関,星室庁裁判所,1487,,星室庁,イギリス,,,,
軍隊@軍,清軍,,,,,,,,
団体@結社,青年イタリア,1831,,,イタリア,,,,
団体@結社,青年トルコ,,,青年トルコ人,オスマン帝国,,,,
国際組織@組織@機構,石油輸出国機構,1960,,OPEC,,,,,
勢力@軍閥@隊,赤シャツ隊,1860,,千人隊,,,ガリバルディ,,
軍隊@軍,赤軍,1918,,赤衛軍,ソヴィエト社会主義共和国連邦,,,,
政党@党@連盟,全インド・ムスリム連盟,1906,,,,,,,
団体@結社,全国水平社,1922,,,日本,,,,
政府@政権,総裁政府,1795,1799,,,フランス,,,
省庁,総理各国事務衙門,1861,1901,総理衙門,清,,,,
軍隊@軍,多国籍軍,,,,,,,,
同盟,対ハプスブルク同盟,,,ハーグ同盟,,,,,
派閥@派,大院君派,,,,,,,,
政府@政権@内閣,大連合内閣,,,,,,,,
政府@政権,大和王権,,,ヤマト王権,,,,,
国際組織@組織,第1インターナショナル,1864,1876,国際労働者協会,,,,,
同盟,第1回対仏大同盟,1793,1797,対仏大同盟,,,,,
政府@政権@内閣,第1次マクドナルド内閣,1924,1924,,イギリス,,,,
国際組織@組織,第2インターナショナル,1889,1916,,,,,,
政府@政権@内閣,第2次マクドナルド内閣,1929,1931,,イギリス,,,,
国際組織@組織,第3インターナショナル,1919,1943,コミンテルン,,,,,
宗教組織@組織@修道会,托鉢修道会,,,,,,,,
学派@派,単性論派,,,単性説,,,,,
団体@結社@党,炭焼き党,19世紀初頭,,炭焼党@カルボナリ,イタリア,,,,
教育機関@機関,知恵の館,830,,,バグダード,,,,
政府@政権,中華ソヴィエト共和国臨時政府,1931,,,,中国,,,
政党@党,中華革命党,1914,1919,,,,孫文,,
政府@政権,中華民国政府,,,国民政府,中華民国,,,,
政党@党,中国共産党,1921,1927,,中華人民共和国,,,,
軍隊@軍,中国軍,,,,,,,,
政党@党,中国国民党,1919,,,中華民国,,,,
団体@結社@会,中国同盟会,1905,1912,,清,,孫文,,
行政機関@機関,中書省,,,,,中国,,,
同盟@機構,中東条約機構,1955,,中央条約機構@METO,,,,,
行政機関@機関,朝鮮総督府,,,,,,,,
政党@党,朝鮮労働党,1949,,,朝鮮民主主義人民共和国,,,,
派閥@派,長老派,,,,イギリス,,,,
議会,帝国議会,1871,,,ドイツ帝国,,,,
軍隊@隊,鉄騎隊,1643,1645,,,,,,
政府@政権@内閣,田中義一内閣,1927,1929,,日本,,,,
軍隊@軍,唐軍,,,,,,,,
同盟@機構,東南アジア条約機構,1954,1977,SEATO,,,,,
宗教組織@組織@会派,東方正教会,,,正教会@ギリシア正教会,,,,,
軍隊@隊,東洋艦隊,1941,1971,東インド艦隊,イギリス,,,,
軍隊@隊,東洋艦隊,1870,1914,,,ドイツ,,,
教育機関@機関@学院,東林書院,1604,1625,東林学院,,,,,
派閥@派,東林派,,,東林党,明,,,,
団体@結社@派,統一と進歩委員会,,1889頃,,,,,,
政府@政権,統領政府,,,,,,,,
学派,道家,,,老荘思想,,中国,,,
国際組織@組織@共同体,独立国家共同体,1991,,,,,,,
政党@党,独立社会民主党,1917,,USPD@ドイツ独立社会民主党,,,,,
政党@党,独立党,,,開化派,李氏朝鮮,,,,
派閥@派,独立派,,,,イギリス,,,,
軍隊@隊,突撃隊,1921,1934,SA,,ドイツ,,,
その他の国家内役割,内閣大学士,,,,明@清,,,,
団体@結社,南ヴェトナム解放民族戦線,1960,,南ベトナム解放民族戦線,,,,,
議会,二院制議会,,,,,,,,
同盟,日英同盟,1902,1921,,,,,,
同盟,日独伊三国同盟,1940/09/27,,,,,,,
軍隊@軍,日本軍,,,,日本,,,,
武装勢力@軍閥@軍,捻軍,,1868,,清,,,,
軍隊,八旗,,,,,,,,
派閥@派,閥族派,,,オプティマテス,,,,,
政党@党@連盟,反ファシスト人民自由連盟,1944,1962,,ビルマ,,アウン・サン@ウー・ヌ,,
武装勢力@軍閥@軍,反革命軍,,,白軍,ソヴィエト社会主義共和国連邦,,,,
団体@結社@同盟,反穀物法同盟,1839,1846,,,,,,
派閥@派,反連邦派,1787,1788,,アメリカ合衆国,,,,
武装勢力@軍閥,藩鎮,,,,唐,,,,
警察組織@組織,非常委員会,1917,1922,チェカ@チェーカー,ソヴィエト社会主義共和国連邦,,,,
派閥@派,非東林派,,,,,,,,
学派,百科全書派,,,,,フランス,,,
学派,兵家,,,,,中国,,,
政府@政権,平氏政権,1167,1183,,,,平清盛,,
議会,平民会,前5世紀前半,,トリブス民会,,,,,
派閥@派,平民派,,,民衆派@ポプラレス,,,,,
国際組織@組織@機構,米州機構,1948/04/01,,OAS,,,,,
政党@党,保守党,1830頃,,,イギリス,,,,
武装勢力@軍閥,奉天派軍閥,,1928,奉天軍閥@東北軍閥,日本,,,,
学派,法家,,,,,中国,,,
政府@政権,豊臣政権,,,,日本,,豊臣秀吉,,
軍隊@軍,北ヴェトナム軍,,,,,,,,
軍隊@軍,北朝鮮軍,,,朝鮮人民軍,,,,,
武装勢力@軍閥,北洋軍閥,,,,,,,,
学派,墨家,,,,,中国,,,
政府@政権,朴政権,,,,,,,,
国際組織@組織@連合,万国郵便連合,1875,,,,,,,
軍隊,満州八旗,17世紀頃,,,,,ヌルハチ,,
議会,民会,,,,ギリシア,,,,
政府@政権,民主カンプチア政府,1976,1979,,カンボジア,,,,
政党@党,民主党,,1860,,アメリカ合衆国,,,,
政党@党,民進党,1986,,民主進歩党,中華民国,,,,
団体@結社,民族解放戦線,1954/11/01,1962年,FLN,,,,,
軍隊@隊,無敵艦隊,1588,1588,アルマダの海戦,スペイン,,,,
学派,名家,,,,,中国,,,
軍隊,明軍,,,,,,,,
政府@政権,明治政府,,,,,,,,
議会,模範議会,1295,,,,,,,
軍隊,蒙古八旗,17世紀前半,,,,,,,
派閥@派,洋務派,1860頃,,,,,,,
学派@派,陽明学派,,,陽明学,明,,王陽明,,
省庁,吏部,,,,後漢,,,,
政府@政権,李登輝国民党政権,,,,,,,,
省庁,理藩院,1638,1661,,清,,,,
政党@党,立憲民主党,1905,1918,,ロシア,,,,
議会,立法議会,1791,1792,立法国民議会,,フランス,,,
藩,琉球藩,1872,1879,,日本,,,,
軍隊,緑営,1644,,清代,清,,,,
省庁,礼部,,1911,,,,,,
同盟,露仏同盟,,,,,,,,
団体@結社@会,労働代表委員会,,,,,,,,
政党@党,労働党,1900,,,イギリス,,,,
省庁,六部,,,,,,,,
政府@政権,冀東防共自治政府,1935,1938,,,中国,,,
政府@政権,崔氏政権,1170,1270,武臣政権@武人政権,高麗,,,,
財閥,浙江財閥,19世紀後半,,,,中国,,,
武装勢力@軍閥@軍,淮軍,1862,,淮勇,清,,李鴻章,,
政府@政権,袁世凱政権,1913/10/01,,袁世凱政府@袁政府@袁世凱帝政,,,,,
派閥@派,閔氏派,,,,,,,,
同盟,連合国,,,,,,,,
同盟,中央同盟国,,,,,,同盟国,,
同盟,武装中立同盟,1780@1800,1783@1801,,ロシア@スウェーデン@デンマーク@プロイセンポルトガル,,,,
同盟,隣保同盟,,,,,,,
共同体,氏族,,,,,,,
学園,アカデメイア,,,,プラトン,,,
学派,陰陽家,,,,諸子百家,,,,
学派,農家,,,,諸子百家,,,,
学派@総称,諸子百家,,,,思想家@諸学派,中国,,,
軍,重装歩兵,,,ローマ重装歩兵,ローマ,,,,
団体,仏教教団,,,サンガ,仏教,,,,
結社,太平道,2世紀後半,,,張角,道教,,,
結社,五斗米道,2世紀後半,215,天師道,張陵,道教,,,
機関,門下省,,,,唐,,,
機関,尚書省,,,,唐,,,
機関,御史台,,,,唐,,,
機関,都督府,,,,唐,,,
機関,都護府,,,,唐,,,
機関,安東都護府,668,,,平壌,,,
機関,安北都護府,647,,,外モンゴル,,,
機関,単于都護府,650,,,フフホト,,,
機関,安西都護府,640,,,,,,
機関,北庭都護府,702,,,ビシュバリク,,,
機関,画院,,,翰林図画院,中国,,,
機関@総称,三省,,,,唐,中書省@門下省@尚書省,,
結社,白蓮社,4世紀末,,,慧遠,盧山,,
結社,太平道,2世紀後半,184,,中国,張角,,
結社,五斗米道,2世紀後半,215,天師道,蜀,張陵,,
省庁,戸部,,,,唐,,,
省庁,兵部,,,,唐,,,
省庁,刑部,,,,唐,,,
省庁,工部,,,,唐,,,
組織@卿村,郷,,,,漢,,,
組織@卿村,亭,,,,漢,,,
組織@卿村,里,,,,漢,,,
組織@軍,禁軍,,,,宋,,,
軍営@機関,折衝府,,,,唐,,,
派閥@党,旧法党,,,,宋,,,
派閥,正一教,,,大師道,道教,五斗米道,,,
組織,猛安・謀克,,,,完顔阿骨打,金,,,
官庁,北面官,,,,遼,二重統治体制,,,
官庁,何面間,,,,遼,二重統治体制,,,
